Date,Close,High,Low,Open,Volume,RSI_14,Trend_Average,Trend_Smoothed
2015-01-01,0.4593823850154876,0.4867437374862765,0.4579423047975651,0.4831435369414701,831204000,,0.0,0.0
2015-01-08,0.4737831354141235,0.4857837101120146,0.4644226699827922,0.4646626929214008,1076032000,,0.0,0.0
2015-01-15,0.4872237145900726,0.4884238004844639,0.4682627923553529,0.4771432391371396,655532000,,0.0,0.0
2015-01-22,0.4634625911712646,0.4980242887776854,0.4632225682555884,0.4881837784093232,1044044000,,0.0,0.0
2015-01-29,0.4838635623455047,0.4893838315309456,0.4545821419561981,0.4637025829654106,1158128000,,0.0,0.0
2015-02-05,0.4994644224643707,0.5040246008452953,0.4836236522378573,0.4843436352270129,1171952000,,0.0,0.0
2015-02-12,0.5309060215950012,0.5400264946970187,0.5249057615434387,0.5280259173706271,1361276000,,0.0,0.0
2015-02-19,0.5313858389854431,0.5385861822838295,0.5270656558957081,0.5376261479553597,725368000,,0.0,0.0
2015-02-26,0.5404191017150879,0.5474062517124852,0.52933605204848,0.5339138459202487,999052000,,0.0,0.0
2015-03-05,0.551261305809021,0.5613805684069954,0.5389735477349253,0.540419173089947,1592168000,,0.0,0.0
2015-03-12,0.5510203242301941,0.563067106324253,0.5358413730473209,0.5459606929837657,1716960000,,0.0,0.0
2015-03-19,0.5069289207458496,0.5688494109989153,0.505242320136611,0.5529476526442313,2071884000,,0.0,0.0
2015-03-26,0.506206214427948,0.5199395384009253,0.4929547272069746,0.4965687900649057,1571504000,,0.0,0.0
2015-04-02,0.5305407047271729,0.5324682241059506,0.4999418874835482,0.5090974178411025,1488464000,,0.0,0.0
2015-04-09,0.54523766040802,0.5502972896137941,0.5262037351431101,0.5264446534547474,1338720000,78.32036138312658,0.0,0.0
2015-04-16,0.537527859210968,0.546683447087771,0.5264448093830392,0.5421056531493695,1118420000,75.40877550172976,0.0,0.0
2015-04-23,0.5334317684173584,0.5442738959788549,0.5216259102254883,0.5276493271915556,1178436000,73.83824149148296,0.0,0.0
2015-04-30,0.5324680805206299,0.5512610878171884,0.52548093236343,0.5307815374212309,1285944000,73.45065143918104,0.0,0.0
2015-05-07,0.5047606229782104,0.5435512988392908,0.4910272980885157,0.5302998107337631,2922584000,63.181670727958256,0.0,0.0
2015-05-14,0.5069289207458496,0.5175300738344495,0.5050014018111062,0.5062061083257668,1284480000,63.61043196582053,0.0,0.0
2015-05-21,0.5286396145820618,0.53106012331255,0.4978991017663287,0.5095175782983604,1144348000,67.67013937888773,0.0,0.0
2015-05-28,0.5252509713172913,0.5470355522729927,0.5242827215516708,0.5286396723685031,1510576000,66.4245263773081,0.0,0.0
2015-06-04,0.5196835398674011,0.5412260766662828,0.516778907414713,0.5221040476748218,1766192000,64.32940444672872,0.0,0.0
2015-06-11,0.5223464369773865,0.5288818067385239,0.5039505535673898,0.5196838938882743,1403764000,64.89966882197135,0.0,0.0
2015-06-18,0.5085492134094238,0.5354168338683228,0.5061287055020601,0.526703051569382,1836728000,59.58445374948258,0.0,0.0
2015-06-25,0.4937841594219208,0.515568792031957,0.4833759678651479,0.5085493005844892,1782288000,54.44556850457072,0.0,0.0
2015-07-02,0.47563037276268,0.4974149776977325,0.4637698640283328,0.4935421526304483,1287284000,48.86531958136948,0.0,0.0
2015-07-09,0.4780508875846863,0.4853124418962674,0.466916537008964,0.4831339669463719,1301716000,49.60694890239388,0.0,0.0
2015-07-16,0.4698210656642914,0.4887010634334583,0.4640118577774189,0.4809554144446516,1197824000,47.10539770651789,0.0,0.0
2015-07-23,0.4833760857582092,0.4872489115603227,0.4620756015560696,0.4707894451834538,982168000,51.44816849163933,0.0,0.0
2015-07-30,0.498141199350357,0.5056447591971402,0.4799873547868403,0.4821658011299973,1300380000,55.713459057229535,0.0,0.0
2015-08-06,0.5741450190544128,0.5797121930215925,0.4867645853465762,0.4969307416582653,3542284000,70.21746514610825,0.0,0.0
2015-08-13,0.5564755797386169,0.5760817438787434,0.5504242781235378,0.5748714604719319,1301748000,64.89628363855279,0.0,0.0
2015-08-20,0.5301346778869629,0.5551708230179582,0.4861390914973113,0.5524970779503127,2729540000,57.85724671528528,0.0,0.0
2015-08-27,0.5398574471473694,0.5559000333598538,0.5201688502242087,0.5357252746308651,1701512000,59.59916500731061,0.0,0.0
2015-09-03,0.5403436422348022,0.5576015470963868,0.5284332278052191,0.5478787739993309,1078368000,59.68889442593159,0.0,0.0
2015-09-10,0.5614906549453735,0.5646505619240972,0.5347530295465786,0.5371837227646509,1352604000,63.48738136293312,0.0,0.0
2015-09-17,0.5590600371360779,0.5763180018788389,0.5534694361851941,0.571213504865759,1266952000,62.755417760927415,0.0,0.0
2015-09-24,0.5991663932800293,0.5998956069974493,0.5469064632135595,0.5556569698703049,2084832000,69.08835764038388,0.0,0.0
2015-10-01,0.6324669718742371,0.6387867857700112,0.5704842084898196,0.5991664229545496,2120832000,73.16797119523753,0.0,0.0
2015-10-08,0.665037989616394,0.6754899711585844,0.6190978348324883,0.629792926144685,2021496000,76.44277515100626,0.013888888888888867,0.0046296296296296224
