Date,Close,High,Low,Open,Volume,RSI_14,Microsoft stock,sell Microsoft stock,buy Microsoft stock
2020-02-24,163.246826171875,167.50626836053686,145.49115880458058,156.32642843140246,382709800,63.273365737417706,56,53,39
2020-03-02,147.0513916015625,163.55314565081864,143.57682769755675,158.93955118227336,312783700,47.63004440020362,87,89,95
2020-03-09,134.38787841796875,154.97680080270482,129.21911948088817,139.07806262902596,436512700,39.42273095042278,87,68,100
2020-03-16,140.62867736816406,147.72137425955265,126.84531144786506,136.65639204266705,407919000,44.49843114256568,72,50,69
2020-03-23,145.59645080566406,157.7239030291253,142.01659725485607,142.04531144706303,320927800,48.21783029095809,61,79,67
2020-03-30,158.0589141845703,162.72036950792648,143.92138152075563,145.35714948700203,269072900,56.15575416349428,49,52,51
2020-04-06,164.5198974609375,166.30981715021082,155.3501227684403,159.2362663747714,187105500,59.612394521384346,51,58,58
2020-04-13,166.0896453857422,172.29215902098937,158.99694800075184,166.83624357306883,230738700,60.42867271277777,45,39,53
2020-04-20,169.8321990966797,170.07149375669667,162.13648925690322,166.65437360645512,185942100,62.38086119068892,59,83,61
2020-04-27,174.72337341308594,176.31229337796827,166.35764188293453,172.29214622056566,192597800,64.82331216387072,46,73,54
2020-05-04,172.05287170410156,179.48057317452813,168.98032164396082,176.283599814777,166836200,62.439664985613696,43,56,44
2020-05-11,177.70980834960938,179.04985274327237,168.15715400982427,169.93750705019855,181809200,65.3465655508264,40,39,35
2020-05-18,174.50930786132812,179.17415222691233,169.50852674368852,177.9551457391274,125537100,62.40394650719237,32,37,35
2020-05-25,177.91680908203125,178.4735207496143,173.13678671383744,173.4823313817832,156668600,64.24978111746006,35,59,28
2020-06-01,188.9358062744141,190.54835280749057,174.7013091949097,176.89936151587912,175523200,69.46978806358416,46,49,42
2020-06-08,186.4402313232422,188.43670996599147,176.62100994354836,185.37480316884395,197243000,67.08085387013384,38,29,34
2020-06-15,189.8956451416016,195.76029601703263,186.20984552866724,186.20984552866724,167979600,68.68651448847447,43,0,29
2020-06-22,196.4801788330078,198.063931147309,185.7779178294469,189.85725721630303,175552800,71.53566789559741,35,54,31
2020-06-29,204.28370666503903,206.04981702974587,196.7681224735226,197.4208097033237,128414100,74.49723962050659,46,58,36
2020-07-06,199.6860809326172,207.6911967008292,193.9174196740772,207.64320153757973,167206100,69.88379757997791,46,44,36
2020-07-13,203.24708557128903,205.34914750096948,193.30309534427263,197.15206675712403,186056900,71.36302722702848,64,75,44
2020-07-20,195.8658599853516,202.45039362801583,189.5788757846836,198.87017785982565,180328900,64.31177114054364,49,40,43
2020-07-27,204.3892822265625,208.90054827194817,191.01864124546933,192.9287369987867,233193100,68.21709473099578,84,98,97
2020-08-03,200.7898864746093,207.6815634067441,194.9828239393252,203.813390989592,161653300,64.98314662797537,50,47,42
2020-08-10,201.2793884277344,203.8325783090726,199.1773266324245,201.02983413068105,109696400,65.22459348411779,46,60,43
2020-08-17,212.78273010253903,213.6871673230036,201.00584287495985,201.61199668837,151335400,70.3913431277466,55,80,62
2020-08-24,222.8854522705078,224.04967804549813,211.09893441057724,214.4568945800821,172475600,74.03938086363617,70,98,57
2020-08-31,203.2958068847656,220.63402177919195,194.5497318276828,220.5955416446248,216667700,58.88833151717117,52,36,36
2020-09-07,197.2919158935547,206.61529613362083,193.62606996964607,205.3259840083156,147609400,55.16256774507792,49,66,37
2020-09-14,193.0006103515625,200.22647652123064,188.82481914846844,192.4810478822865,193397200,52.60091258025444,51,59,40
2020-09-21,202.3721160888672,204.52737044039057,191.6632175931433,192.28863349712583,150695700,57.26788469697421,37,35,22
2020-09-28,201.8910369873047,205.8936459845179,197.0705967382492,205.4125635958568,135880200,56.95784977788691,34,0,25
2020-10-05,212.5037078857422,216.6891304329128,200.43816834575617,202.54529682190537,139217700,61.86286562792953,38,42,22
2020-10-12,206.6729888916016,213.88922443473385,205.0276807279212,208.8859707277892,121895200,57.95516992133734,28,0,18
2020-10-19,195.01153564453125,208.15470905740543,194.4534930345157,205.83588859144712,166238600,51.0145253954544,43,53,27
2020-10-26,208.20278930664065,210.05977454854136,192.0672854660797,196.3489295187892,169052300,57.25115664875649,33,31,18
2020-11-02,208.35679626464844,219.48903568089148,201.78520873315296,213.63907176978967,179192900,57.3194772109328,43,80,53
2020-11-09,203.09376525878903,210.81994809450924,202.9494317174612,208.9918406894573,117695200,54.13536474345791,31,0,34
2020-11-16,206.31692504882807,207.68677431464604,200.808588648384,203.91487174407925,128311900,55.75630914542512,28,61,37
2020-11-23,207.7639617919922,209.6451071272796,203.3939450086074,207.26233677449616,102206000,56.49961184952917,30,61,33
2020-11-30,204.32000732421875,209.28812241150808,203.75084748313216,207.0307661225206,130131600,54.16715861936287,28,33,26
2020-12-07,211.5359039306641,212.33659340792448,201.7250695289076,204.29113247242995,148535000,58.07270589229176,29,0,28
2020-12-14,213.2144317626953,217.66162496494547,208.39101244224648,212.1050364870476,174364400,58.94900374347547,25,36,28
2020-12-21,213.8511199951172,219.15688144781345,213.38807584445613,213.60030748015663,66159600,59.29651546772929,25,0,31
2020-12-28,204.754150390625,215.1245019416225,204.4551007475954,213.8704099728692,117825900,52.462870483621415,33,30,28
2021-01-04,208.6996917724609,212.7899564230844,205.78635726669,206.480916067076,117018400,54.89104845827405,29,0,34
2021-01-11,216.41714477539065,217.8159332419776,204.5418903967182,208.2848679850219,129485500,59.27313196285639,34,49,33
2021-01-18,224.67481994628903,231.9485430318154,214.5649392471541,216.76441682826544,213074400,63.37315173093881,66,99,62
2021-01-25,234.41815185546875,236.43433736539887,223.1795920269035,227.28913951335176,178002900,67.52709418215605,47,78,57
2021-02-01,234.2445373535156,237.23504842887988,231.8810501669749,234.0901844061671,111314500,67.38045229766598,36,0,32
2021-02-08,235.5757598876953,237.4376071090614,232.4308962809183,236.135278207902,80694200,67.95508253349391,29,0,31
2021-02-15,226.7877197265625,235.8572845537336,221.1603218468865,233.79778558298776,135203500,60.39173430364632,36,56,32
2021-02-22,220.0290679931641,229.6111074244192,219.7389933201918,224.3994860721967,159527400,55.294583722405314,36,41,26
2021-03-01,224.72824096679688,229.15667123625013,216.83828621369733,219.2362231852428,184695300,57.951895034823096,38,49,26
2021-03-08,229.1952972412109,232.1153562882127,224.1383850774621,227.18414657385205,136250500,60.36379365662617,30,48,22
2021-03-15,227.66763305664065,233.07263262665,221.7598383685016,224.8635975457353,168649200,59.11496962026895,30,30,26
2021-03-22,227.96734619140625,231.1871437334244,223.45189863658115,227.512899361662,153184800,59.292902995857226,27,0,23
2021-03-29,241.62969970703125,242.6256112789347,230.17187738099943,230.57797595610305,112900300,66.45887550241986,33,36,20
2021-04-05,247.1314239501953,250.6122903664813,243.6602360333333,244.40475755227973,122009100,68.83785313744876,36,47,34
2021-04-12,251.9562530517578,252.8264917143859,248.34003548148803,249.39395906459828,117468700,70.79421599516971,27,31,24
2021-04-19,246.13546752929688,254.47986691248056,244.578749047399,251.5984778317257,144749400,65.45532142819155,41,42,30
2021-04-26,238.313232421875,247.62453838404136,237.626722931126,247.0057193693956,145818100,59.01443324298096,35,32,26
2021-05-03,231.0904083251953,245.8840650306658,230.19119331605,238.29385115695567,153149900,53.75454136106478,29,40,21
2021-05-10,235.0740966796875,240.93354255241744,230.70369376865224,233.7977888949013,124403400,56.07967095017179,25,33,18
2021-05-17,243.7285919189453,245.13383947058784,236.3340620934922,236.4309818368648,100551200,60.702273632844886,23,0,13
2021-05-24,239.6678771972656,244.3003565595883,238.2529289340702,243.4184372581403,85316400,57.63700991786948,20,0,16
2021-05-31,245.7637939453125,248.10912179730764,235.50062222934648,237.6521105784226,114060600,60.83435424254031,22,0,17
2021-06-07,249.43682861328125,252.5380535301165,245.84131889502493,246.44217992872248,107972700,62.66293305900158,25,0,16
2021-06-14,257.0832824707031,258.59513571313266,248.1090827523332,248.1672286789073,135676600,66.20074872438909,27,0,17
2021-06-21,262.53955078125,263.26640448195985,256.58905719749674,257.9458448570046,108242300,68.4947726836773,25,31,18
2021-06-28,271.2908935546875,272.0274481712752,261.2797073262662,261.2893785983359,98008900,71.8006969746887,26,32,16
2021-07-05,273.7912292480469,274.90573220957884,266.3869995579054,268.35434882675725,116700800,72.68267303333808,27,39,16
2021-07-12,272.7154541015625,275.3321387891648,265.9799620846935,273.2969428738905,132350600,71.64440714801478,28,0,16
2021-07-19,277.3867492675781,281.19545546676426,274.21767785826137,275.0801955156785,136499300,73.4199607905825,34,0,16
2021-07-26,277.6678466796875,279.712714464842,274.98331443897433,277.40616038863965,89450800,73.52738351299521,23,0,9
2021-08-02,278.0942687988281,282.5522816674277,276.39827664097857,278.0264220143327,79179600,73.70102238773163,23,0,17
2021-08-09,281.75762939453125,285.72140206625096,277.5030974452679,277.784155874166,97206200,75.20564485109256,28,0,15
2021-08-16,293.2497863769531,296.9686788236476,280.2676066968199,280.3161445238307,131680200,79.22174327249236,28,0,18
2021-08-23,293.0749816894531,296.3375355546533,288.22001374843177,292.25935063124626,101889000,79.01209980162885,24,0,10
2021-08-30,291.5019836425781,294.5606075905576,288.841470630968,293.4342810783583,63260700,77.03652524411498,20,0,16
2021-09-06,295.978271484375,296.4637682765353,285.5497802387584,292.0942971470926,113423000,78.67088326049952,24,0,19
2021-09-13,289.9193115234375,296.45411036947195,281.12211019475507,294.9490818544463,148192400,71.27621057164296,24,0,17
2021-09-20,275.7621765136719,292.1719620769194,274.54843453958,290.1814370923577,126715200,57.64261064085945,23,0,17
2021-09-27,284.60791015625,285.1128457757308,272.1209471100807,277.4225636880247,146776200,62.47271246255369,25,0,18
2021-10-04,287.7151184082031,289.3269713802157,283.8699919535415,286.6178908717075,98805200,64.02457832936035,22,0,8
2021-10-11,298.4931945800781,300.7167785820507,289.1910577881268,290.5310339147969,109596200,68.83832633413526,28,0,18
2021-10-18,313.7960205078125,316.64102469624345,297.47359053054333,298.26012262275793,132617900,74.13097020674576,45,59,27
2021-10-25,324.3117980957031,325.1856862359546,312.0384272017187,314.9222788072057,136124300,77.01943475341949,40,41,25
2021-11-01,321.2047119140625,328.96297191564594,319.9521513459293,323.23411487287893,114267600,74.37689496632443,33,52,21
2021-11-08,329.2832946777344,332.26425168693163,320.9230552801435,321.64158095221467,97344000,76.62274750824577,35,39,25
2021-11-15,328.70867919921875,340.14846267865045,324.47712421327947,328.97131638403295,127546900,76.11173921035191,27,0,18
2021-11-22,321.0919189453125,330.04141511002234,319.1852979957577,325.2456659793601,129003900,69.49559228456837,36,64,23
2021-11-29,325.8487854003906,326.65617148119134,309.3700583499197,321.30593619692377,158360800,71.18049697434368,34,38,19
2021-12-06,325.5374755859375,334.42860766344535,315.2844714414658,325.3040202849107,169029100,70.90447546427453,30,45,13
2021-12-13,324.126953125,327.5900117070101,308.61126083937256,326.5685854667507,160683700,69.58777574251116,27,0,14
2021-12-20,332.6387023925781,334.9246880678388,323.669762101224,323.6892068134116,70268300,72.86271325663577,28,0,17
2021-12-27,307.7649841308594,333.78658220419493,307.3758820596032,332.5998015905831,135589000,54.42015447951573,33,0,28
2022-01-03,309.603515625,314.60356797191446,296.39331130148423,304.62293767865776,180414600,55.320357716885255,33,51,22
2022-01-10,295.0703125,312.1424438965445,293.5236117547261,311.74360463217806,173479500,47.35808878591191,63,99,63
2022-01-17,288.63055419921875,303.1637391561993,268.5331241210836,300.6540058286234,342374100,44.31446951950236,76,98,46
2022-01-24,304.9244689941406,306.539270720024,286.4321318990858,294.4185651062879,227255900,52.61291439615146,46,40,33
2022-01-31,302.7357788085937,303.4361744780052,291.733751196256,301.0626130253658,171065700,51.5026473782015,37,37,28
2022-02-07,291.3445739746094,300.7026153070128,283.4165055283092,295.76095746496446,177961700,46.05530361283907,38,42,21
2022-02-14,273.2019348144531,289.31506795752455,273.03623865803087,288.8861618204875,146272900,38.98320570967008,37,37,24
2022-02-21,292.61962890625,293.86734790006096,264.67263326438695,265.6376870726082,187254700,48.158644429061546,32,29,21
2022-02-28,281.2244873046875,295.48554665454543,263.19102798012347,295.2516085934701,186192200,43.979085953024295,33,31,21
2022-03-07,286.9659729003906,287.14142645095416,268.86427123457264,275.88268098887875,160569400,46.4985653786804,33,34,21
2022-03-14,291.937255859375,297.30831059638336,282.07247339532694,285.8936293616051,155873500,48.65191126861409,28,50,20
2022-03-21,305.9448547363281,307.9821738994421,290.79677424796665,291.59610208012026,135186200,54.24058468473006,30,42,19
2022-03-28,291.9469909667969,307.19258434004547,289.227342888461,305.98383533413863,148089300,48.55352292608596,27,43,16
2022-04-04,280.3666381835937,295.99238376504206,273.41644162854453,289.17867089313484,143216300,44.40546585090976,22,41,19
2022-04-11,279.13836669921875,282.39416251169047,271.32063116094645,280.82474910527475,94204000,43.97632469168794,28,39,19
2022-04-18,276.0776672363281,285.9034534331018,263.1910523004394,281.302482736301,204535400,42.86465922127474,46,58,27
2022-04-25,282.6671142578125,283.6418956342817,269.2541129982467,277.99790313509425,165449500,46.02793590239043,33,47,25
2022-05-02,253.97927856445312,279.1286562058333,252.7608018303156,278.3390856619496,217079000,36.54238178613369,42,40,27
2022-05-09,247.67247009277344,261.5630907406228,243.7148598256885,251.19143168659733,178694600,34.84239424764424,33,31,18
2022-05-16,256.49566650390625,258.50839113022187,240.7846843088996,248.07348348786064,162658800,39.11010613260344,29,0,18
2022-05-23,266.1684265136719,271.3174780310836,255.43060848740583,256.2513283042812,115032800,43.48065746088021,23,0,18
2022-05-30,264.2045593261719,268.34724907969184,255.5967360536963,258.38133942065286,134700500,42.808810201168185,23,30,16
2022-06-06,245.9825592041016,266.4517917155712,235.9677781155455,261.6349334310703,165761500,37.08321726909053,32,29,24
2022-06-13,247.32110595703125,251.2684032435324,237.4431124993375,240.3351772335526,132122200,37.74194364287855,20,0,16
2022-06-20,254.2875823974609,262.1430596063609,247.80972237412504,249.70520578363767,131765000,41.1928486061633,20,0,12
2022-06-27,260.1009521484375,261.8401031652253,247.096395034856,251.1511540541768,101334000,43.98317732891426,21,29,13
2022-07-04,246.9205474853516,262.8855713147756,242.41633781014767,259.0359845973553,125339800,39.41660893587279,21,37,12
2022-07-11,256.2514038085937,258.79174483824187,240.29615860857805,244.819913901066,123652800,43.860366729346765,22,0,14
2022-07-18,262.5729064941406,263.85284204135934,243.84283909414967,253.8283102648279,150684000,46.712100075976174,36,35,18
2022-07-25,275.9878234863281,276.9941856489056,261.72286122490885,263.55972338198336,133424800,52.25480044593693,25,35,13
2022-08-01,282.5243225097656,283.15940026226946,271.23935551282324,275.333205236438,101705500,54.72586910922608,24,33,14
2022-08-08,284.634765625,287.42911973651474,279.9351483885379,284.1755500409862,97127600,55.5262052364624,22,0,15
