Price,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT
Date,,,,,
2015-01-01,39.61793518066406,40.63773377302535,38.98377581032129,39.9864345184708,133149800
2015-01-08,39.386558532714844,41.05765994085872,39.09518698837643,40.06356936648634,142231500
2015-01-15,39.352272033691406,39.97786636803497,38.70954108416736,39.60936702877996,143689100
2015-01-22,35.29878616333008,40.61202987394219,35.273077968844376,39.74648687890055,358306200
2015-01-29,35.855804443359375,36.17288401548006,34.47607531267283,35.07595796981013,285639900
2015-02-05,36.31858444213867,36.669943897169546,35.872957258107064,36.18146863698269,170479100
2015-02-12,37.30410385131836,37.7068829654702,36.42998935391788,36.55853685348511,134341100
2015-02-19,37.966590881347656,38.23414146175845,37.15529997981062,37.267500415794814,144874800
2015-02-26,37.163936614990234,38.17373077206401,37.00858316123068,37.966595028626806,152186300
2015-03-05,36.23181915283203,37.31929342700761,36.110989409559984,37.17256924420328,162925300
2015-03-12,36.68061828613281,36.96543407904203,35.049410140892384,35.67082402188441,229141900
2015-03-19,35.783023834228516,37.25887861829459,35.765761970440366,36.47348192393511,201012900
2015-03-26,35.14435577392578,35.91249070149741,34.790495752492866,35.57589254603248,178699200
2015-04-02,35.74850082397461,36.17140826436056,34.62650599414218,35.09256644868246,130274000
2015-04-09,36.473472595214844,36.64608789658312,35.60177009723145,35.60177009723145,135610600
2015-04-16,37.1035270690918,37.25887725276384,35.52410116018249,36.205929939188046,162033100
2015-04-23,42.342384338378906,42.558152699330435,36.939542736428855,37.01721947806596,345026800
2015-04-30,39.94303512573242,42.756656199025684,39.71863749471351,42.03167442535615,240504500
2015-05-07,41.10818862915039,41.703708114023875,39.839469626198316,39.93440823082247,157058900
2015-05-14,41.06502914428711,42.2129149198592,40.71979850776251,41.45340949492309,139382800
2015-05-21,41.35797119140625,41.49696024822346,40.1244404126131,41.07130439773048,105048800
2015-05-28,40.69778060913086,41.71414102734594,40.4719245793949,41.26242565411272,134141100
2015-06-04,40.489288330078125,40.967063000729425,39.49030221654867,40.645651431565526,128128700
2015-06-11,39.93333053588867,40.758576155528885,39.10808160248811,40.5327201921428,140307700
2015-06-18,39.64667892456055,40.68041348513939,39.56849734698535,40.15051649421437,177600800
2015-06-25,38.61293029785156,40.202617241338196,38.169900453081766,39.985446658463616,168822300
2015-07-02,38.43052291870117,39.003853350437026,37.63133313623704,38.63900490455344,121007700
2015-07-09,39.75090408325195,39.924641221271955,38.65636574711841,38.87353634120334,135578700
2015-07-16,39.5598030090332,41.114745525077524,39.2644508177944,39.968081542686214,188305000
2015-07-23,40.21131134033203,40.63696388443309,38.908287667453564,39.32525484512341,181243400
2015-07-30,41.33190155029297,42.05290606855326,39.89857456414417,40.18523797311812,155468900
2015-08-06,40.60220718383789,41.496948782774936,39.707462271141246,41.44482665820944,129029700
2015-08-13,40.489288330078125,41.21898169909918,40.21999558556972,40.88019608379663,120259900
2015-08-20,37.3460807800293,40.63386693134758,34.731594614117675,40.284101311637244,329069600
2015-08-27,37.91444396972656,38.605229140994375,36.427945289660286,37.80076965829486,200992000
2015-09-03,37.66087341308594,38.82384139435905,36.900136940474134,37.95817322264645,131363300
2015-09-10,38.73640823364258,38.80636271762778,37.38107179475654,37.704602944154615,134409500
2015-09-17,38.36039352416992,39.348478473133255,37.87072570462918,38.727647724437325,167320200
2015-09-24,38.70142364501953,39.112397821384526,37.64338729268919,37.99315297499294,152626500
2015-10-01,40.922420501708984,41.4033457243912,38.25546850718749,39.1298792159232,159594900
2015-10-08,40.8175048828125,41.5694988605922,40.660110639295205,40.712576499005365,126828000
2015-10-15,41.27219009399414,41.96297542096546,40.68633312820439,41.10604990854315,138973800
2015-10-22,47.20070266723633,47.541722403940774,41.176011757156296,41.56075137422563,354498200
2015-10-29,47.56795883178711,47.98767570355066,46.011505013099104,46.8159648523558,180791600
2015-11-05,46.91213607788086,48.07510059143404,46.579859073031884,47.646641210087346,188632800
2015-11-12,47.0870246887207,47.20069903741811,45.932802590661375,46.76349359616495,165635800
2015-11-19,47.26355743408203,48.11745405502597,46.89383107744396,47.527651526647375,139137800
2015-11-26,48.60161209106445,49.26184048578924,47.35158127560459,47.360382843305665,152478200
2015-12-03,48.39915084838867,49.499531697137314,47.47483160705898,48.848108115211794,182552500
2015-12-10,49.411502838134766,49.51713845991574,47.254755691372594,48.76007589461103,195440500
2015-12-17,49.13859558105469,49.99249199735438,47.56284976309168,49.61396080403153,218813400
2015-12-24,49.56995391845703,50.045315856859396,48.39914717242638,49.1738161713754,81452700
2015-12-31,47.5804557800293,49.464306802521826,46.99945496600734,49.332263147300274,154710700
2016-01-07,45.45893859863281,47.59807949664352,45.159634837155295,46.392062880438324,245241800
2016-01-14,44.7106819152832,47.025881137886294,43.22296464354229,45.775849924900264,231040100
2016-01-21,45.08920669555664,46.348042654129756,44.27932464533882,44.89553859174667,178130700
2016-01-28,45.916690826416016,48.49598374297334,45.11561372196927,45.652600100638274,304207600
2016-02-04,43.75994873046875,46.48889549613869,42.42188509484089,45.863876565573776,253264100
2016-02-11,46.14556121826172,46.45366981439607,42.70357068746007,42.853224201718525,161202100
2016-02-18,45.53707504272461,46.99113996462789,44.50858985048519,46.39710264891178,147653200
2016-02-25,46.946800231933594,46.9556649948592,44.87209734008534,45.8651165158655,156883800
2016-03-03,46.84927749633789,46.96453972376717,44.84550595581904,46.96453972376717,157956500
2016-03-10,48.18808364868164,48.40973997343585,45.359750162412524,46.92907734753716,147543600
2016-03-17,47.851165771484375,48.76438869566053,46.92907470078222,48.06395393721139,163028200
2016-03-24,48.80872344970703,49.33183252658347,47.28373019107976,47.73590761851869,83907700
2016-03-31,48.87076950073242,49.34954781684838,48.06394087862856,48.720044872810355,110149500
2016-04-07,49.07469940185547,49.15449579853354,47.66496531534709,48.64911974697454,108568800
2016-04-14,49.28749465942383,50.33371265870121,48.826449152775595,48.959444284730424,139249400
2016-04-21,45.1646728515625,49.854919557006795,44.81888966898218,49.47367056539113,275872000
2016-04-28,44.21599197387695,45.01395590203128,43.75494652452182,44.88096078660346,175378800
2016-05-05,45.262210845947266,45.909446765476105,44.02980249354259,44.21599295350164,115059700
2016-05-12,45.0494270324707,46.06904396963179,44.59724629242853,45.39521031473432,119438100
2016-05-19,46.534114837646484,46.86446308500916,44.4806146301014,45.06095320012755,132665000
2016-05-26,47.185890197753906,47.3198155664194,45.85558030892498,46.3644912604721,105034500
2016-06-02,46.46269226074219,47.087671497071064,46.069846417748856,46.998386802816746,106468600
2016-06-09,44.36455154418945,46.47162281840725,43.802073250882835,46.42698217056971,205691400
2016-06-16,45.52521514892578,45.94484119959307,44.203829209964574,44.212759380367636,175421600
2016-06-23,45.123443603515625,46.48054003586145,42.891377775156464,45.78413318142712,282192800
2016-06-30,45.8734245300293,46.17698566307135,44.98952483486304,45.28415920187268,102902100
2016-07-07,47.775146484375,48.087637815764836,45.59665096074899,45.90913888627587,122919800
2016-07-14,49.91792678833008,50.74825566104672,47.25730437043366,48.0697763054092,231233600
2016-07-21,50.16791915893555,51.150030339729426,49.78400349644037,49.980426413771696,150951000
